Date,Open,High,Low,Close,Adj Close,Volume
2022-06-21,0.080587,0.087277,0.080314,0.082308,0.082308,21239427
2022-06-22,0.082312,0.087550,0.079552,0.081920,0.081920,19968197
2022-06-23,0.081921,0.083695,0.080273,0.082108,0.082108,20197033
2022-06-24,0.082132,0.090905,0.082074,0.090101,0.090101,23700083
2022-06-25,0.090099,0.094581,0.087054,0.089162,0.089162,25039688
2022-06-26,0.089153,0.094214,0.082773,0.082773,0.082773,21625323
2022-06-27,0.082754,0.085356,0.080387,0.082375,0.082375,23190010
2022-06-28,0.082376,0.084083,0.075822,0.076165,0.076165,16213186
2022-06-29,0.076169,0.079075,0.073973,0.076840,0.076840,15971930
2022-06-30,0.076887,0.076925,0.069527,0.074140,0.074140,14059611
2022-07-01,0.074167,0.077091,0.073289,0.073984,0.073984,12537904
2022-07-02,0.073958,0.080238,0.072734,0.076285,0.076285,16291844
2022-07-03,0.076298,0.076298,0.072316,0.074068,0.074068,13472807
2022-07-04,0.074067,0.077302,0.072786,0.077281,0.077281,10365007
2022-07-05,0.077264,0.077574,0.072330,0.074293,0.074293,12800951
2022-07-06,0.074307,0.076807,0.073473,0.075837,0.075837,12558293
2022-07-07,0.075807,0.082439,0.075363,0.081378,0.081378,18120056
2022-07-08,0.081378,0.082815,0.076841,0.079817,0.079817,15456580
2022-07-09,0.079708,0.083410,0.079352,0.081914,0.081914,12478362
2022-07-10,0.081902,0.081943,0.076954,0.077254,0.077254,15197696
2022-07-11,0.077256,0.077256,0.072022,0.072344,0.072344,13349758
2022-07-12,0.072343,0.073181,0.068607,0.068776,0.068776,13726807
2022-07-13,0.068775,0.074120,0.067547,0.073915,0.073915,13759026
2022-07-14,0.073980,0.079224,0.073918,0.076898,0.076898,17409559
2022-07-15,0.076921,0.079532,0.075411,0.076819,0.076819,16326112
2022-07-16,0.076813,0.082282,0.076354,0.080978,0.080978,22217465
2022-07-17,0.080999,0.082713,0.079037,0.079661,0.079661,13954756
2022-07-18,0.079674,0.085637,0.079659,0.084610,0.084610,17159378
2022-07-19,0.084609,0.090387,0.083371,0.087887,0.087887,23910859
2022-07-20,0.087865,0.092745,0.083773,0.084250,0.084250,26245136
2022-07-21,0.084244,0.086153,0.080597,0.085136,0.085136,13889887
2022-07-22,0.085123,0.088502,0.082533,0.082747,0.082747,12292577
2022-07-23,0.082725,0.084885,0.081401,0.083407,0.083407,9532559
2022-07-24,0.083401,0.087315,0.082620,0.084784,0.084784,10245971
2022-07-25,0.084752,0.084804,0.077458,0.077459,0.077459,9595296
2022-07-26,0.077449,0.077449,0.074113,0.076315,0.076315,8282025
2022-07-27,0.076344,0.081082,0.075489,0.080936,0.080936,12374656
2022-07-28,0.081007,0.090844,0.080327,0.086031,0.086031,15913457
2022-07-29,0.086275,0.089740,0.084592,0.086317,0.086317,16254366
2022-07-30,0.086343,0.093880,0.086337,0.087434,0.087434,17531291
2022-07-31,0.087453,0.103224,0.087419,0.096005,0.096005,29674298
2022-08-01,0.095997,0.103335,0.091344,0.094909,0.094909,18933606
2022-08-02,0.094924,0.096938,0.091447,0.092916,0.092916,13900103
2022-08-03,0.092919,0.097972,0.091037,0.095935,0.095935,12187352
2022-08-04,0.095943,0.104580,0.093349,0.096443,0.096443,23850989
2022-08-05,0.096406,0.101089,0.096406,0.100565,0.100565,12715202
2022-08-06,0.100600,0.103855,0.100312,0.102002,0.102002,10134845
2022-08-07,0.101994,0.104934,0.100255,0.104120,0.104120,12779995
2022-08-08,0.104164,0.105209,0.101499,0.101793,0.101793,14871085
2022-08-09,0.101806,0.102749,0.094519,0.095941,0.095941,11638207
2022-08-10,0.095925,0.099694,0.092730,0.099638,0.099638,12072087
2022-08-11,0.099642,0.102529,0.096833,0.097256,0.097256,12308338
2022-08-12,0.097218,0.104155,0.095753,0.103671,0.103671,11946632
2022-08-13,0.103679,0.105245,0.100623,0.100803,0.100803,11156533
2022-08-14,0.100811,0.104961,0.097240,0.099640,0.099640,13239469
2022-08-15,0.099588,0.104709,0.096202,0.100921,0.100921,12959627
2022-08-16,0.100856,0.116438,0.100575,0.107779,0.107779,46968008
2022-08-17,0.107774,0.112497,0.099523,0.101884,0.101884,14922053
2022-08-18,0.101927,0.102595,0.094292,0.094387,0.094387,10073769
2022-08-19,0.094374,0.094435,0.083937,0.084866,0.084866,10607580
2022-08-20,0.084857,0.088159,0.082871,0.085259,0.085259,8510850
2022-08-21,0.085265,0.094098,0.085168,0.089169,0.089169,13301448
2022-08-22,0.089167,0.089439,0.084889,0.089439,0.089439,11089844
2022-08-23,0.089447,0.094526,0.088151,0.091745,0.091745,11871014
2022-08-24,0.091737,0.093430,0.089499,0.090935,0.090935,6684392
2022-08-25,0.090951,0.092880,0.089959,0.091172,0.091172,8753980
2022-08-26,0.091136,0.091155,0.084795,0.085518,0.085518,10697523
2022-08-27,0.085532,0.086311,0.083701,0.085025,0.085025,9767506
2022-08-28,0.085014,0.085088,0.078459,0.078459,0.078459,9104234
2022-08-29,0.078472,0.084558,0.078053,0.084416,0.084416,6306271
2022-08-30,0.084425,0.085364,0.079260,0.080444,0.080444,5452736
2022-08-31,0.080449,0.083810,0.080449,0.081290,0.081290,6479820
2022-09-01,0.081287,0.082247,0.079524,0.081880,0.081880,7832974
2022-09-02,0.081884,0.085420,0.080776,0.080917,0.080917,7514903
2022-09-03,0.080920,0.084187,0.080369,0.082631,0.082631,6394571
2022-09-04,0.082638,0.083030,0.080683,0.082896,0.082896,6593176
2022-09-05,0.082900,0.083181,0.081115,0.082150,0.082150,6565293
2022-09-06,0.082154,0.083989,0.076532,0.077434,0.077434,8608622
2022-09-07,0.077404,0.103034,0.076347,0.097401,0.097401,103226706
2022-09-08,0.097359,0.099027,0.090351,0.092855,0.092855,28242713
2022-09-09,0.092861,0.096359,0.091282,0.095382,0.095382,14989051
2022-09-10,0.095347,0.102640,0.093719,0.099094,0.099094,16773437
